Time,Energy,Searching
403,1057.783,6
404,1000.96,6
405,942.0837,6
406,883.4802,6
407,823.4506,6
408,4745.723,6
409,4699.011,6
410,4652.273,6
411,4606.158,6
412,4558.962,6
413,4513.388,6
414,4468.288,6
415,4422.37,6
416,4372.24,6
417,4324.001,6
418,4272.276,6
419,4219.348,6
420,4167.504,6
421,4115.11,6
422,4064.362,6
423,4015.492,6
424,3965.851,6
425,3915.858,6
426,3863.869,6
427,3811.487,6
428,3760.1,6
429,3707.416,6
430,3655.747,6
431,3606.635,6
432,3556.366,6
433,3506.38,6
434,3456.365,6
435,3407.683,6
436,3358.522,6
437,3308.346,6
438,3255.422,6
439,3205.738,6
440,3155.351,6
441,3102.38,6
442,3044.235,6
443,2986.514,6
444,2931.119,6
445,2877.722,6
446,2825.32,6
447,2775.239,6
448,2720.02,6
449,2666.5,6
450,2610.311,6
451,2554.848,6
452,2497.643,6
453,2441.335,6
454,2387.174,6
455,2331.209,6
456,2274.59,6
457,2219.768,6
458,2165.226,6
459,2109.606,6
460,2055.11,6
461,1998.17,6
462,1941.695,6
463,1884.045,6
464,3825.796,6
465,3779.989,6
466,3727.734,6
467,3676.291,6
468,3624.946,6
469,3576.161,6
470,3529.642,6
471,3481.552,6
472,3432.646,6
473,3383.106,6
474,3330.395,6
475,3280.057,6
476,3231.099,6
477,3181.613,6
478,3133.561,6
479,3083.125,6
480,3035.136,6
481,2984.085,6
482,2917.353,6
483,2866.912,6
484,2814.852,6
485,2764.821,6
486,2714.421,6
487,2660.661,6
488,2609.442,6
489,2560.422,6
490,2508.896,6
491,2460.793,6
492,2409.76,6
493,2357.196,6
494,2304.81,6
495,2258.143,6
496,2208.314,6
497,2160.895,6
498,2111.63,6
499,2060.919,6
500,2013.074,6
501,1966.481,6
502,1919.222,6
503,1869.142,6
504,1817.796,6
505,1766.336,6
506,1713.733,6
507,1665.135,6
508,1616.875,6
509,1570.226,6
510,1518.172,6
511,1466.761,6
512,1414.925,6
513,1361.707,6
514,1311.266,6
515,1259.862,6
516,1209.624,6
517,1157.586,6
518,1107.43,6
519,1055.436,6
520,1006.866,6
521,954.7375,6
522,905.524,6
523,852.856,6
524,802.8492,6
525,753.342,6
526,702.5771,6
527,650.0964,6
528,596.1022,6
529,547.2986,6
530,495.2475,6
531,436.6846,6
532,388.9876,6
533,342.4866,6
534,291.8362,6
535,238.9502,6
536,189.3115,6
537,137.5354,6
538,90.46548,6
539,43.90427,6
540,-8.534073,6
541,-63.93257,6
542,-118.5701,6
543,-169.7566,6
544,-231.0401,6
545,-283.7181,6
546,-338.3101,6
547,-390.0526,6
548,-444.3922,6
549,-496.6802,6
550,-546.8657,6
551,-599.9236,6
552,-650.2391,6
553,-701.3792,6
554,-756.2242,6
555,-808.7597,6
556,-859.8627,6
557,-912.1326,6
558,-962.9771,6
559,-1013.39,6
560,930.6553,5
561,890.4222,5
562,848.0378,5
563,809.0199,5
564,767.811,5
565,573.6284,5
566,525.4453,6
567,473.2611,6
568,424.6738,6
569,374.8471,6
570,326.9441,6
571,278.2213,6
572,227.9378,6
573,180.308,6
574,130.0841,6
575,81.31947,6
576,30.62379,6
577,1981.213,6
578,1937.246,6
579,1894.967,6
580,1850.499,6
581,1806.073,6
582,1763.503,6
583,1715.113,6
584,1670.587,6
585,1630.401,5
586,1594.371,5
587,1556.524,5
588,1516.711,5
589,1477.693,5
590,1435.656,5
591,1394.733,5
592,1357.121,5
593,1320.227,5
594,1281.675,5
595,1242.472,5
596,1204.557,5
597,1163.737,5
598,1123.049,5
599,1083.869,5
600,1046.501,5
601,1007.362,5
602,975.3143,4
603,944.9663,4
604,913.5508,4
605,882.8312,4
606,851.3969,4
607,820.712,4
608,787.7819,4
609,755.2159,4
610,722.9542,4
611,691.8246,4
612,661.5814,4
613,630.6345,4
614,598.4532,4
615,566.8093,4
616,535.2233,4
617,501.8446,4
618,467.6328,4
619,432.6723,4
620,395.6116,4
621,360.2808,4
622,323.0589,4
623,291.5777,3
624,261.6599,3
625,232.1834,3
626,200.0151,3
627,169.2096,3
628,139.7894,3
629,108.6498,3
630,75.95123,3
631,40.22378,3
632,6.914902,3
633,-29.18545,3
634,-63.85261,3
635,-97.01298,3
636,-137.1149,3
637,-172.2797,3
638,-206.7139,3
639,-241.4936,3
640,-274.8209,3
641,-309.1433,3
642,-337.4068,2
643,-368.4126,2
644,-398.3029,2
645,1574.807,2
646,1550.49,2
647,1528.008,2
648,1504.349,2
649,3483.968,3
650,3461.326,3
651,3440.292,3
652,3417.401,3
653,3394.875,3
654,3372.648,3
655,3347.974,3
656,3323.371,3
657,3295.13,3
658,3267.385,3
659,3238.966,3
660,3210.772,3
661,3183.114,3
662,3154.413,3
663,3127.397,3
664,3099.459,3
665,3070.471,4
666,3035.471,4
667,3002.918,4
668,2968.93,4
669,2936.261,4
670,2902.655,4
671,2869.897,4
672,2834.174,4
673,2799.64,4
674,2764.581,4
675,2729.517,4
676,2693.811,4
677,2658.847,4
678,2623.251,4
679,2587.771,4
680,2551.647,4
681,2517.506,4
682,2481.187,4
683,2444.614,4
684,2407.556,4
685,2371.378,4
686,2336.498,4
687,2300.807,4
688,2266.5,4
689,2230.148,4
690,2195.97,4
691,2159.619,4
692,2125.587,4
693,2090.509,4
694,2052.612,4
695,2019.156,4
696,1986.839,4
697,1950.847,4
698,1916.691,4
699,1881.287,5
700,1840.885,5
701,1798.619,5
702,1757.379,5
703,1718.193,5
704,1675.143,5
705,1634.327,5
706,1590.368,5
707,1548.314,5
708,1503.454,5
709,1461.441,5
710,1418.581,5
711,1375.142,5
712,1335.617,5
713,1295.857,5
714,1253.782,5
715,1210.078,5
716,1166.355,5
717,1124.578,5
718,1081.73,5
719,1039.621,5
720,998.262,5
721,943.2101,5
722,899.7789,5
723,855.5863,5
724,814.5658,5
725,771.6313,5
726,729.1926,5
727,685.4739,5
728,643.0955,5
729,597.0453,6
730,548.4872,6
731,498.58,6
732,450.6103,6
733,400.5066,6
734,352.3087,6
735,303.3002,6
